COMMAND: ./post_m29_bc_interval_formula_mpfr
B/C interval fixed-template direct-tail MPFR onset verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 b_radius_slope=22 c_radius_slope=19 b_radius_offset=0 c_radius_offset=0 search_lo=63 search_hi=40001 slack=32 cheb_degree=8 cheb_scale=12000 cutoff=80 majorant_degree=32 log10_neg=-15 mpfr_precision=384 mpfr_version=4.2.1 max_fact=94396 OpenMP threads=32
CONDITIONAL_INPUT requires uniform B/C Chebyshev negative-tail bound degree=8 scale=12000 cutoff=80 majorant_degree=32 log10_negative_upper<=-15
factorial_log_precompute_start max_fact=94396
factorial_log_precompute_done max_fact=94396
row	onset	margin_lower_log10	slack_target	slack_margin_lower_log10	radius	c_push_lower
C_60	1587	2.52285022808527598741291	1619	57.1613580734036160326134	1140	6118.35421307689758352
C_61	1647	2.47681836602756828870635	1679	57.3853195670945173116788	1159	6342.35421307689758352
C_62	1707	0.419323423873599351952083	1739	55.5926705660587601325044	1178	6570.35421307689758352
C_63	1771	3.22937331147951432318042	1803	58.6626116381013682258702	1197	6802.35421307689758352
C_64	1833	0.54777583156232842213689	1865	56.2361326238384387324552	1216	7038.35421307689758352
C_65	1899	2.76627946413657032333094	1931	58.7051541877477144968234	1235	7278.35421307689758352
C_66	1965	2.94187483339553420952405	1997	59.1268299837073190698816	1254	7522.35421307689758352
C_67	2031	1.02591644722853449910435	2063	57.4526690323176937256889	1273	7770.35421307689758352
C_68	2099	0.548027797640194972830375	2131	57.2124414045248549638442	1292	8022.35421307689758352
C_69	2169	1.5052207383881571986731	2201	58.4032981333765937199651	1311	8278.35421307689758352
C_70	2239	0.359209719257678385476297	2271	57.4870859382060843380976	1330	8538.35421307689758352
C_71	2311	0.64807607039663946714511	2343	58.0020119589864846502385	1349	8802.35421307689758352
C_72	2385	2.40360625174356591694898	2417	59.9799824197245368531673	1368	9070.35421307689758352
C_73	2459	2.00905264231665379571548	2491	59.8043637990730784373001	1387	9342.35421307689758352
C_74	2535	3.08043078941855731447632	2567	61.0912804312582595215305	1406	9618.35421307689758352
C_75	2611	1.97389469289667113686915	2643	60.1969901151767353227582	1425	9898.35421307689758352
C_76	2689	2.33267293767373330637308	2721	60.7648205473069118704509	1444	10182.35421307689758352
C_77	2767	0.486636450782014313007773	2799	59.1247373568444626702965	1463	10470.35421307689758352
C_78	2847	0.105395332714055788152636	2879	58.9464411948292430941979	1482	10762.35421307689758352
C_79	2929	1.18337237122347274075227	2961	60.224441487154174337808	1501	11058.35421307689758352
C_80	3011	0.0479677771439589500006516	3043	59.286221392606588859207	1520	11358.35421307689758352
C_81	3095	0.370860172040960636401769	3127	59.8035389971837250043125	1539	11662.35421307689758352
C_82	3181	2.18155274264784352105861	3213	61.8059736609234309860055	1558	11970.35421307689758352
C_83	3267	1.7350215324452530421886	3299	61.548574488775065597339	1577	12282.35421307689758352
C_84	3355	2.77504046252182703641914	3387	62.7751855187053156858196	1596	12598.35421307689758352
C_85	3443	1.53316291385860605612448	3475	61.7174274601397517624505	1615	12918.35421307689758352
C_86	3533	1.77670634465215045325826	3565	62.1426824572257933508018	1634	13242.35421307689758352
C_87	3625	3.49849684973238164305117	3657	64.043838784765026668439	1653	13570.35421307689758352
C_88	3717	2.93167019109334327978737	3749	63.654092006554292688231	1672	13902.35421307689758352
C_89	3809	0.0356152099888955754249492	3841	60.9328885072452019421127	1691	14238.35421307689758352
C_90	3905	2.43976952790336843240728	3937	63.5097213056324919033825	1710	14578.35421307689758352
C_91	4001	2.51341768255377125330807	4033	63.7539282960765887376717	1729	14922.35421307689758352
C_92	4097	0.252438544188514931774702	4129	61.6614397638274787566114	1748	15270.35421307689758352
